name	hashbrown ns/iter	cuda ns/iter	diff ns/iter	diff %	speedup
insert_ahash_highbits	9,082	9,361	279	3.07%	x 0.97
insert_ahash_random	9,173	9,849	676	7.37%	x 0.93
insert_ahash_serial	10,456	13,908	3,452	33.01%	x 0.75
insert_erase_ahash_highbits	18,925	22,761	3,836	20.27%	x 0.83
insert_erase_ahash_random	21,032	29,305	8,273	39.34%	x 0.72
insert_erase_ahash_serial	23,400	34,930	11,530	49.27%	x 0.67
insert_erase_std_highbits	41,708	47,506	5,798	13.90%	x 0.88
insert_erase_std_random	41,201	48,452	7,251	17.60%	x 0.85
insert_erase_std_serial	35,419	44,053	8,634	24.38%	x 0.80
insert_std_highbits	19,071	19,967	896	4.70%	x 0.96
insert_std_random	18,665	19,510	845	4.53%	x 0.96
insert_std_serial	16,316	17,096	780	4.78%	x 0.95
iter_ahash_highbits	1,894	1,851	-43	-2.27%	x 1.02
iter_ahash_random	1,905	1,854	-51	-2.68%	x 1.03
iter_ahash_serial	1,900	1,633	-267	-14.05%	x 1.16
iter_std_highbits	1,924	1,867	-57	-2.96%	x 1.03
iter_std_random	1,906	1,868	-38	-1.99%	x 1.02
iter_std_serial	1,899	1,606	-293	-15.43%	x 1.18
lookup_ahash_highbits	5,003	6,262	1,259	25.16%	x 0.80
lookup_ahash_random	4,973	6,310	1,337	26.89%	x 0.79
lookup_ahash_serial	6,606	6,418	-188	-2.85%	x 1.03
lookup_fail_ahash_highbits	5,112	5,445	333	6.51%	x 0.94
lookup_fail_ahash_random	6,035	5,888	-147	-2.44%	x 1.02
lookup_fail_ahash_serial	6,539	9,177	2,638	40.34%	x 0.71
lookup_fail_std_highbits	15,745	16,291	546	3.47%	x 0.97
lookup_fail_std_random	15,519	16,413	894	5.76%	x 0.95
lookup_fail_std_serial	13,333	14,212	879	6.59%	x 0.94
lookup_std_highbits	15,407	16,108	701	4.55%	x 0.96
lookup_std_random	15,682	16,340	658	4.20%	x 0.96
lookup_std_serial	12,807	13,459	652	5.09%	x 0.95
